node,average_stars,fans,name,review_count,yelping_since,cool,funny,usefull
rpOyqD_893cqmDAtJLbdog,3.66,1179,Jeremy,1274,2004-10,11093,7681,14199
w6Vv-kldGpmvSGqXvTbAdQ,4.16,1180,Connie,1539,2005-10,22458,15803,24320
r9YT-wfk8DlMyq_q4a_saQ,4.09,524,Nique,1166,2008-12,13739,9805,17006
J3rNWRLRuZJ_0xsJalIhlA,4.07,711,Hazel,820,2006-08,19161,20027,22401
bM2OTIopnFoaQGLxK2PxPg,4.01,562,Danny,1547,2009-01,11581,12747,14775
GJrGPKF2xxB06Es6aH1VWg,3.81,443,Randy,1809,2011-01,12695,10280,16390
neOOSMNWcVL0o2Xwb0goVg,3.69,107,Joseph,545,2010-01,5650,4237,6818
kGgAARL2UmvCcTRfiscjug,3.62,170,J,1977,2007-03,9765,6376,13713
QQacOXfgNDSwTvJyzB1iLA,3.73,77,Dominic,828,2012-04,2495,1185,4354
WmAyExqSWoiYZ5XEqpk_Uw,3.92,223,Philip,758,2007-06,7054,6550,9214
SfiNyNLmW7alXejl-m_iYw,3.95,84,Daniel,177,2009-09,1432,838,1979
-ANkfLbDf8aiBQ7vywIL6w,3.25,79,Dan,566,2007-07,6075,5142,6320
nKoB5cWZHXYUIUcQsUDogA,3.77,188,Kimquyen,755,2007-07,7618,5094,9411
8E0DGec8LNn6oDmPHmj-mg,3.9,1323,Ruggy,2012,2007-07,23931,25214,28625
zZlHqWiCrCj0WKSNI1Nxlw,4.2,994,Brittany,1155,2011-04,14602,11093,19059
fczQCSmaWF78toLEmb0Zsw,4.05,512,Gabi,1625,2007-08,12025,6816,14738
Lw99LHT54yb7ED0qlgujeg,3.92,192,Roland,325,2010-03,4725,4759,5860
oYTZ2PbYYd2MDbVYUoQpCw,3.81,51,Ron,404,2010-04,1860,1107,2114
spJUPXI7QaIctU0FO5c42w,4.18,1363,Katie,1157,2009-05,23922,21394,28714
saiZmxzBIowJbMgPBW1Now,3.78,172,Carol,548,2008-04,2497,1736,3116
nWNNojXYkXRl_0_pNbtfbQ,3.51,457,Michael,1937,2010-05,37288,35627,42047
0IAOkW3KD1Dsx2hnwb0CSA,3.58,117,Sam,747,2008-05,8474,6566,10367
yPWj9W9lYnSXazgafWejyQ,3.54,200,Steven,995,2010-03,4260,3311,7397
4ozupHULqGyO42s3zNUzOQ,4.32,404,Lindsey,1006,2010-01,6877,4043,9259
7zpDhrRZRTGCkAh3SHbEww,3.95,1106,Candice,2162,2008-01,26240,28530,31500
8j5rre5uA2TxjX8Fk9Je3Q,4.02,205,Rodney,593,2009-08,31704,30105,32938
CInFos81Gf4dkBJQL-1jGg,4.12,169,Rodney,1000,2008-11,7350,5155,8860
4U9kSBLuBDU391x6bxU-YA,3.6,100,Michael,442,2004-10,732,908,1483
fHtTaujcyKvXglE33Z5yIw,4.64,2,Ken,11,2004-10,5,1,11
SIBCL7HBkrP4llolm4SC2A,3.8,4,Katherine,66,2004-10,13,11,34
UTS9XcT14H2ZscRIf0MYHQ,3.58,7,Nader,101,2004-10,49,53,243
HDQixQ-WZEV0LVPJlIGQeQ,3.82,8,Yishan,45,2004-10,19,44,48
91ovYNfGfPiqe6GbTcPwTg,3.47,0,L.,30,2004-10,8,9,50
anTtulQ9G2b3SipCEwGVHg,3.8,11,Kevin,139,2004-10,134,167,277
ZWOj6LmzwGvMDh-A85EOtA,4.02,78,Helen,983,2004-10,1928,1109,2404
Y46j-EFxKQYAK38xMfykXA,4.01,12,michele,98,2004-12,131,81,199
i63u3SdbrLsP4FxiSKP0Zw,4.1,464,Nish,1859,2004-12,10946,6806,12412
ytjCBxosVSqCOQ62c4KAxg,3.82,74,Michael,629,2005-01,1145,1084,1167
r5uiIxwJ-I-oHBkNY2Ha3Q,3.59,144,Kevin,1597,2005-01,3519,3891,3906
niWoSKswEbooJC_M7HMbGw,4.01,45,Phil,409,2005-01,782,609,953
XejvgD4CrkR7FeIkjwAjtQ,4.19,37,Mike,379,2004-10,269,252,896
W0M8csYKD2ryUsr6OsACyA,3.84,14,Marc,762,2005-02,197,147,480
WsPgO3ycZjRp7wFh18JdMQ,4.1,228,Nicole,471,2005-03,6529,5412,6531
uguXfIEpI65jSCH5MgUDgA,3.86,1119,Jane,1200,2005-03,11097,9880,14726
yqPLSUM5s6uLVPpEFrAgcg,3.87,20,Kevin,562,2005-03,247,319,463
IsVIVpgV7VralvYD4DEQYg,4.0,114,Rosie,281,2005-05,2908,3772,3229
8_RB3fs5Ywn_ECTmg139Gg,3.43,5,Vu,54,2004-11,163,155,192
pz97SxRe1Vk-5_K6EB9OSA,3.43,439,Anita,3953,2005-04,17864,11089,22270
kNmLc3_TqfwJQm0ixG7Cgw,3.92,5,Maury,150,2005-04,439,234,435
2QiLD5S9n6HruQoJhp5nsA,3.82,9,Caroline,223,2005-05,267,267,576
AglQinQcLwwKalAQJdV1_w,3.83,76,Allison,597,2005-05,1027,906,1502
lxZSVeJz6KEBW1nlA3JKJg,3.91,307,Shiho,2830,2005-07,14784,9204,18508
7uxXuCcpw9-mUS3OJVw8aQ,4.14,1339,Jessica,1713,2005-07,32741,22616,33961
HSxydf5uBUVPQiInEpYkYQ,3.53,7,Srinivas,252,2005-07,220,455,263
pW91HUnVz6ssLZ4dY-ztyQ,3.82,813,Miriam,3069,2005-09,14560,7485,17959
w6Vv-kldGpmvSGqXvTbAdQ,4.16,1180,Connie,1539,2005-10,22458,15803,24320
B9pKfr27czBbCoAIircZdQ,3.64,124,Jay,985,2005-05,3816,5455,3325
Rir-YRPPClKXDFQbc3BsVw,4.27,388,Megan,779,2005-06,3203,2124,3996
zTWH9b_ItSdLOK9ypeFOIw,3.65,219,Teri,999,2005-07,4655,1891,6205
